Vietnamese,English,Vietnamese_Sentence,English_Sentence
như,as,Cô ấy đẹp như hoa.,She is beautiful as a flower.
tôi,I,Tôi thích đọc sách vào buổi tối.,I like to read books in the evening.
mình,his,Hôm nay là sinh nhật mình.,Today is his birthday.
mà,that,Đây là cuốn sách mà tôi thích.,This is the book that I like.
ông,he,Ông ấy là giáo viên dạy toán.,He is the math teacher.
là,was,Hôm qua là một ngày đẹp trời.,Yesterday was a beautiful day.
cho,for,Tôi mua quà cho bạn.,I bought a gift for you.
trên,on,Con mèo đang nằm trên bàn.,The cat is lying on the table.
là,are,Họ là những người bạn tốt.,They are good friends.
với,with,Tôi đi chơi với bạn bè.,I go out with friends.
họ,they,Họ đang chơi bóng đá ở công viên.,They are playing football at the park.
được,be,Bạn có thể được khen thưởng.,You can be rewarded.
tại,at,Chúng ta gặp nhau tại quán cà phê.,We meet at the coffee shop.
một,one,Tôi có một chiếc xe hơi.,I have one car.
có,have,Tôi có nhiều bạn bè tốt.,I have many good friends.
này,this,Đây là bức tranh tôi vẽ.,This is the painting I drew.
từ,from,Tôi đến từ thành phố Hồ Chí Minh.,I am from Ho Chi Minh City.
bởi,by,Bức thư được viết bởi cô ấy.,The letter was written by her.
nóng,hot,Thời tiết hôm nay thật nóng.,The weather is very hot today.
từ,word,Tôi không hiểu từ này.,I don't understand this word.
nhưng,but,"Tôi muốn đi, nhưng trời mưa.","I want to go, but it is raining."
những gì,what,Bạn biết những gì tôi đã làm không?,Do you know what I did?
một số,some,Tôi có một số ý tưởng mới.,I have some new ideas.
là,is,Bánh mì là món ăn phổ biến.,Bread is a popular food.
nó,it,Nó rất thông minh.,It is very smart.
anh,you,Anh có thể giúp tôi một chút không?,Can you help me a little?
hoặc,or,Bạn muốn trà hoặc cà phê?,Do you want tea or coffee?
có,had,Tôi đã có một ngày tuyệt vời.,I had a wonderful day.
các,the,Các bạn đã sẵn sàng chưa?,Are the friends ready?
của,of,Đây là cuốn sách của tôi.,This is my book.
để,to,Tôi đi ra ngoài để mua sắm.,I am going out to shop.
và,and,Tôi thích ăn pizza và pasta.,I like to eat pizza and pasta.
một,a,Tôi muốn mua một chiếc xe hơi.,I want to buy a car.
trong,in,Chó đang ở trong nhà.,The dog is in the house.
chúng tôi,we,Chúng tôi sẽ đi du lịch vào tháng tới.,We will travel next month.
có thể,can,Tôi có thể giúp bạn với bài tập.,I can help you with the homework.
ra,out,Hãy ra ngoài và chơi với bạn bè.,Go out and play with your friends.
khác,other,Tôi muốn thử một món ăn khác.,I want to try another dish.
là,were,Họ là những người bạn tốt của tôi.,They were my good friends.
mà,which,Đây là cuốn sách mà tôi đã đọc.,This is the book which I read.
làm,do,Tôi làm bài tập về nhà hàng ngày.,I do my homework every day.
của họ,their,Đây là nhà của họ.,This is their house.
thời gian,time,Thời gian trôi qua rất nhanh.,Time passes very quickly.
nếu,if,"Nếu trời mưa, tôi sẽ ở nhà.","If it rains, I will stay home."
sẽ,will,Tôi sẽ học tiếng Anh vào tháng tới.,I will study English next month.
như thế nào,how,Bạn cảm thấy như thế nào hôm nay?,How do you feel today?
nói,said,Cô ấy đã nói rằng cô ấy sẽ đến.,She said that she would come.
một,an,Tôi cần một ý tưởng mới.,I need an new idea.
môi,each,Chúng tôi đều có một sở thích riêng.,We each have our own hobby.
nói,tell,Tôi sẽ nói cho bạn một bí mật.,I will tell you a secret.
không,does,Cô ấy không thích ăn trái cây.,She does not like to eat fruit.
bộ,set,Tôi mua một bộ sách mới.,I bought a new set of books.
ba,three,Có ba con mèo trong nhà.,There are three cats in the house.
muốn,want,Tôi muốn uống một cốc nước.,I want to drink a glass of water.
không khí,air,Không khí ở đây rất trong lành.,The air here is very fresh.
cũng,well,Cô ấy học cũng khá giỏi.,She studies well too.
cũng,also,Tôi cũng thích đi du lịch.,I also like to travel.
chơi,play,Trẻ em thích chơi ở công viên.,Children like to play in the park.
nhỏ,small,Cô ấy có một con chó nhỏ.,She has a small dog.
cuối,end,Chúng ta sẽ gặp nhau ở cuối đường.,We will meet at the end of the street.
đặt,put,Hãy đặt sách lên bàn.,Please put the book on the table.
nhà,home,Tôi trở về nhà sau một ngày làm việc.,I return home after a day of work.
đọc,read,Tôi thích đọc sách vào buổi tối.,I like to read books in the evening.
tay,hand,Cô ấy giơ tay để phát biểu.,She raised her hand to speak.
